Job,Mean,Highest,Lowest,Standard Deviation,Count
team45-mingjun-2,31.5,35,30,1.63,10
team45-mingjun-3,28.0,28,28,0.0,3
team45-mingjun-4,32.2,35,30,1.25,24
team45-mingjun-5,32.0,33,31,1.0,8
team45-mingjun-6-v2,30.4,36,27,2.28,25
team45-mingjun-6,31.8,36,28,1.4,183
team45-mingjun-7-v2,30.1,34,26,1.82,25
team45-mingjun-7,31.7,32,31,0.45,7
team45-mingjun-8,31.7,34,30,0.96,11
team45-mingjun-9,29.8,32,27,1.67,13
team45-mingjun-11,32.3,36,28,1.52,63
team45-mingjun-15-v2,32.6,37,28,1.61,34
team45-mingjun-15,31.8,35,29,1.3,22
team45-mingjun-16,32.2,35,29,0.89,64
team45-mingjun-17,32.7,34,28,0.97,115
team45-mingjun-18,32.1,36,28,1.61,85
team45-mingjun-27,31.9,35,30,1.51,10
team45-mingjun-29,19.8,24,14,3.03,14
