Model Name,Last Submitted Win Rate,Number of Wins,Number of Draws,Total Runs
team45-mingjun-7-v2,60%,29,0,48
team45-mingjun-6-v2,56%,27,0,48
team45-mingjun-15-v2,70%,34,0,48
team45-mingjun-6-v2,66%,32,0,48
team45-mingjun-7-v2,66%,32,0,48
team45-mingjun-15-v2,70%,34,0,48
team45-mingjun-6-v2,62%,30,0,48
team45-mingjun-7-v2,62%,30,0,48
team45-mingjun-15-v2,64%,31,0,48
team45-mingjun-7-v2,54%,26,0,48
team45-mingjun-6-v2,60%,29,0,48
team45-mingjun-15-v2,70%,34,0,48
team45-mingjun-7-v2,66%,32,0,48
team45-mingjun-15-v2,66%,32,0,48
team45-mingjun-6-v2,64%,31,0,48
team45-mingjun-7-v2,62%,30,0,48
team45-mingjun-6-v2,60%,29,0,48
team45-mingjun-15-v2,64%,31,0,48
team45-mingjun-7-v2,56%,27,0,48
team45-mingjun-6-v2,56%,27,0,48
team45-mingjun-15-v2,70%,34,0,48
team45-mingjun-7-v2,62%,30,0,48
team45-mingjun-15-v2,66%,32,0,48
team45-mingjun-6-v2,64%,31,0,48
team45-mingjun-7-v2,60%,29,0,48
team45-mingjun-15-v2,66%,32,0,48
team45-mingjun-6-v2,58%,28,0,48
team45-mingjun-15-v2,72%,35,0,48
team45-mingjun-7-v2,56%,27,0,48
team45-mingjun-6-v2,60%,29,0,48
team45-mingjun-7-v2,62%,30,0,48
team45-mingjun-6-v2,75%,36,0,48
team45-mingjun-15-v2,66%,32,0,48
team45-mingjun-7-v2,64%,31,0,48
team45-mingjun-6-v2,64%,31,0,48
team45-mingjun-15-v2,66%,32,0,48
team45-mingjun-15-v2,64%,31,0,48
team45-mingjun-7-v2,64%,31,0,48
team45-mingjun-6-v2,66%,32,0,48
team45-mingjun-7-v2,64%,31,0,48
team45-mingjun-15-v2,68%,33,0,48
team45-mingjun-6-v2,68%,33,0,48
team45-mingjun-6-v2,66%,32,0,48
team45-mingjun-7-v2,66%,32,0,48
team45-mingjun-15-v2,64%,31,0,48
team45-mingjun-6-v2,60%,29,0,48
team45-mingjun-15-v2,77%,37,0,48
team45-mingjun-7-v2,64%,31,0,48
team45-mingjun-6-v2,68%,33,0,48
team45-mingjun-15-v2,70%,34,0,48
team45-mingjun-7-v2,70%,34,0,48
team45-mingjun-6-v2,66%,32,0,48
team45-mingjun-15-v2,68%,33,0,48
team45-mingjun-7-v2,58%,28,0,48
team45-mingjun-6-v2,70%,34,0,48
team45-mingjun-15-v2,64%,31,0,48
team45-mingjun-7-v2,62%,30,0,48
team45-mingjun-6-v2,60%,29,0,48
team45-mingjun-15-v2,68%,33,0,48
team45-mingjun-7-v2,64%,31,0,48
team45-mingjun-6-v2,66%,32,0,48
team45-mingjun-7-v2,58%,28,0,48
team45-mingjun-15-v2,66%,32,0,48
team45-mingjun-7-v2,62%,30,0,48
team45-mingjun-6-v2,62%,30,0,48
team45-mingjun-15-v2,66%,32,0,48
team45-mingjun-6-v2,56%,27,0,48
team45-mingjun-7-v2,64%,31,0,48
team45-mingjun-15-v2,58%,28,0,48
team45-mingjun-7-v2,64%,31,0,48
team45-mingjun-6-v2,60%,29,0,48
team45-mingjun-15-v2,64%,31,0,48
team45-mingjun-6-v2,58%,28,0,48
team45-mingjun-7-v2,66%,32,0,48
team45-mingjun-15-v2,68%,33,0,48
team45-mingjun-4,66%,32,0,48
team45-mingjun-15,66%,32,0,48
team45-mingjun-18,66%,32,0,48
team45-mingjun-15,66%,32,0,48
team45-mingjun-18,66%,32,0,48
team45-mingjun-4,72%,35,0,48
team45-mingjun-15,64%,31,0,48
